2025-03-25 15:42:19 - Proceso iniciado, ejecutándose cada 60 segundos
2025-03-26 12:41:20,208 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:43:47,468 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:44:00,608 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:44:04,619 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:44:05,844 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:44:09,558 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:44:09,762 - INFO - Proceso finalizado.
2025-03-26 12:47:52,068 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:47:56,891 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:47:58,184 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:48:01,285 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:48:01,492 - INFO - Proceso finalizado.
2025-03-26 12:50:43,264 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:50:47,248 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:50:48,481 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:50:51,678 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:50:51,881 - INFO - Proceso finalizado.
2025-03-26 12:53:21,575 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:53:25,685 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:53:26,945 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:53:30,400 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:53:30,607 - INFO - Proceso finalizado.
2025-03-26 12:54:30,020 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:54:34,182 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:54:35,510 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:54:38,860 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:54:39,083 - INFO - Proceso finalizado.
2025-03-26 14:39:02,754 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 14:43:08,385 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 14:43:12,587 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 14:43:14,187 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 14:43:18,870 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 14:43:19,079 - INFO - Proceso finalizado.
2025-03-26 14:48:45,513 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 14:48:50,275 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 14:48:51,847 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 14:48:56,498 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 14:48:56,702 - INFO - Proceso finalizado.
2025-03-26 15:07:10,812 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 15:07:20,097 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 15:07:21,682 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 15:07:26,015 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 15:07:26,216 - INFO - Proceso finalizado.
2025-03-26 15:08:55,514 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 15:08:59,430 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
